id_emp_pais,id_emp,id_pais,ciudad
1,1,39,SANTIAGO
2,2,24,"EL ALTO"
3,2,42,BOGOTÁ
4,2,96,TOKYO
5,2,48,"SAN JOSÉ"
6,2,145,LIMA
7,2,27,"SAU PAULO"
8,3,24,"SANTA CRUZ"
9,3,96,TOKYO
10,4,24,"LA PAZ"
11,4,96,TOKYO
12,5,4,EPPSTEIN
13,6,61,ORLANDO
14,7,10,"BUENOS AIRES"
15,8,4,MÜNSTER
16,9,36,VANCOUVER
17,10,36,MONTREAL
18,11,96,OSAKA
19,12,24,"LA PAZ"
20,12,61,MIAMI
21,13,24,"LA PAZ"
22,13,60,MADRID
23,14,24,"LA PAZ"
24,14,39,SANTIAGO
25,14,145,LIMA
26,15,61,MIAMI
27,16,24,"LA PAZ"
28,16,61,MIAMI
29,17,154,BUCAREST
30,18,61,MIAMI
31,18,36,OTTAWA
32,18,39,SANTIAGO
33,19,142,"PANAMA CITY"
34,20,61,ILLINOIS
35,21,61,MIAMI
36,22,61,TAMPA
37,23,61,COLORADO
38,24,61,OREGON
39,25,60,BARCELONA
40,26,60,BARCELONA
41,27,4,ALLGAU
42,28,93,JERUSALEN
43,29,36,ONTARIO
44,30,96,TOKYO
45,31,96,OSAKA
46,32,96,TOKYO
47,33,46,SEOUL
48,34,54,"EL CAIRO"
49,35,117,SELANGOR
50,36,113,"MEXICO DF"
51,37,137,NAPIER
52,38,145,AREQUIPA
53,39,56,"ABU DAVI"
54,40,166,SINGAPUR
55,41,174,YVERDON-LES-BAINS
56,42,173,SOLLENTUNA
57,43,178,TAIPEI
58,44,81,BAMERELD
59,45,81,GENT
60,46,88,EDINBURGH
61,47,88,THAMES
62,48,60,BARCELONA
63,49,27,"SAO PAULO"
64,50,60,BILBAO
65,51,60,MURCIA
66,52,24,"LA PAZ"
67,52,155,MOSCU
68,52,61,MIAMI
69,52,40,BEIJING
70,53,24,"LA PAZ"
71,53,10,"BUENOS AIRES"
72,53,39,SANTIAGO
73,53,42,BOGOTA
74,53,145,LIMA
