id_tie,id_emp,id_pro
1,1,1
2,1,2
3,1,4
4,1,5
5,2,6
6,3,7
7,3,8
8,4,7
9,4,9
10,5,6
11,5,10
12,5,11
13,7,6
14,8,6
15,8,10
16,9,10
17,9,6
18,9,12
19,9,13
20,10,10
21,12,6
22,12,10
23,12,12
24,14,14
25,14,16
26,15,27
27,16,6
28,17,14
29,17,11
30,17,15
31,17,16
32,18,6
33,18,12
34,18,10
35,18,16
36,19,1
37,20,6
38,21,17
39,22,6
40,22,18
41,23,6
42,24,6
43,24,10
44,24,13
45,25,6
46,26,19
47,27,6
48,27,10
49,27,11
50,27,12
51,28,11
52,28,13
53,30,28
54,31,27
55,33,20
56,33,21
57,35,6
58,35,11
59,40,10
60,40,6
61,41,6
62,41,22
63,41,23
64,42,6
65,42,10
66,43,6
67,43,12
68,44,22
69,44,24
70,44,6
71,45,6
72,45,22
73,45,12
74,45,13
75,46,10
76,46,13
77,47,6
78,47,12
79,48,18
80,48,22
81,48,6
82,49,11
83,49,25
84,49,18
85,49,19
86,49,26
87,52,29
88,52,14
89,53,30
